35	shareholderfunds	61302
22	netassetsliabilitiesincludingpensionassetliability	61302
5	cashbankinhand	51910
44	totalassetslesscurrentliabilities	40447
16	netcurrentassetsliabilities	40166
23	currentassets	39318
30	calledupsharecapital	39181
34	profitlossaccountreserve	38472
20	creditorsduewithinoneyeartotalcurrentliabilities	36577
9	parvalueordinaryshare	34394
6	typeordinaryshare	34376
26	dateapproval	34282
2	entitycurrentlegalname	34282
3	balancesheetdate	34282
1	companieshouseregisterednumber	34282
18	membershavenotrequiredcompanytoobtainanaudit	34282
41	nameapprovingdirector	34282
19	directorsacknowledgetheirresponsibilitiesundercompaniesact	34282
55	dateaccountsreceived	34282
0	companieshousedocumentauthentication	34282
71	valueordinarysharesallotted	34256
32	contentaccountingpolicy	34156
23	accountsareinaccordancewithspecialprovisionscompaniesactrelatingtosmallcompanies	33847
22	debtors	30462
12	fixedassets	29712
6	tangiblefixedassetscostorvaluation	28926
4	tangiblefixedassets	28372
31	titleaccountingpolicy	27693
9	tangiblefixedassetsdepreciation	27406
17	categoryitem	24386
36	typedepreciation	24368
23	ratedepreciation	24110
59	numberordinarysharesallotted	23557
1	companynotdormant	22051
37	companyentitledtoexemptionundersection477companiesact2006	20324
4	calledupsharecapitalnotpaidnotexpressedascurrentasset	15954
18	numberordinarysharesauthorised	14551
74	tangiblefixedassetsdepreciationchargeforperiod	14311
14	stocksinventory	13000
0	companydormant	12231
15	companyentitledtoexemptionundersection480companiesact2006	11786
29	accountspreparedunderhistoricalcostconventioninaccordancewithfrsse05	11137
26	creditorsdueafteroneyeartotalnoncurrentliabilities	9661
8	tangiblefixedassetsadditions	8951
17	cityortown	7549
15	postcode	7549
3	addressline1	7549
12	county	6357
42	valueordinarysharesauthorised	5466
29	provisionsforliabilitiescharges	5390
72	intangiblefixedassetscostorvaluation	5382
5	intangiblefixedassets	5138
44	transactionswithdirectors	5054
4	addressline2	4829
10	intangiblefixedassetsaggregateamortisationimpairment	4332
24	totalconsideration	4184
18	totalnominalvalue	4184
19	totalnumbersharesissued	4184
32	statementonrelatedpartydisclosure	4047
35	titleadditionalnote	3429
65	contentadditionalnote	3429
7	nameaccountants	3103
17	prepaymentsaccruedincomenotexpressedwithincurrentassetsub-total	2249
9	tangiblefixedassetsdisposals	2179
9	intangiblefixedassetsamortisationchargedinperiod	2116
34	accountspreparedunderhistoricalcostconventioninaccordancewithfrse	2073
37	tangiblefixedassetsdepreciationdisposals	1904
22	companyentitledtoexemptionundersection249a1companiesact1985	1727
20	otheraggregatereserves	1672
41	accrualsdeferredincome	1575
25	positionadditionalapprovingperson	1454
57	nameadditionalapprovingperson	1454
28	sharepremiumaccount	1329
8	descriptionaccountants	1290
11	addressline3	1272
14	totalinvestmentsfixedassets	1220
12	investmentscurrentassets	1145
35	othercreditorsduewithinoneyear	1103
37	revaluationreserve	1070
25	taxationsocialsecurityduewithinoneyear	1014
10	tangibleassetsfreetextnote	856
53	foreignexchangerate	816
5	intangiblefixedassetsadditions	689
11	tradecreditorswithinoneyear	688
39	secureddebts	542
7	tradedebtors	527
19	otherdebtors	491
24	bankloansoverdraftsafteroneyear	462
15	companyentitledtoexemptionundersection249aa1companiesact1985	445
9	intangibleassetsfreetextnote	440
11	tangiblefixedassetsincreasedecreasefromrevaluations	437
23	bankloansoverdraftswithinoneyear	403
