15	netassetsliabilitiesincludingpensionassetliability	66942
51	shareholderfunds	66939
17	cashbankinhand	56652
25	totalassetslesscurrentliabilities	45300
22	netcurrentassetsliabilities	44993
24	currentassets	44058
26	calledupsharecapital	43956
26	profitlossaccountreserve	43286
46	contentaccountingpolicy	41445
21	creditorsduewithinoneyeartotalcurrentliabilities	40862
11	valueordinarysharesallotted	38953
8	parvalueordinaryshare	38373
10	typeordinaryshare	38359
23	directorsacknowledgetheirresponsibilitiesundercompaniesact	37224
1	companieshouseregisterednumber	37224
24	companieshousedocumentauthentication	37224
18	dateapproval	37224
3	balancesheetdate	37224
25	dateaccountsreceived	37224
2	entitycurrentlegalname	37224
25	nameapprovingdirector	37224
34	membershavenotrequiredcompanytoobtainanaudit	37224
66	accountsareinaccordancewithspecialprovisionscompaniesactrelatingtosmallcompanies	35233
20	titleaccountingpolicy	35146
17	debtors	34419
14	fixedassets	33421
6	tangiblefixedassetscostorvaluation	32605
4	tangiblefixedassets	32044
64	tangiblefixedassetsdepreciation	30913
14	numberordinarysharesallotted	27822
59	categoryitem	27392
46	typedepreciation	27384
45	ratedepreciation	27121
1	companynotdormant	24586
62	companyentitledtoexemptionundersection477companiesact2006	18744
20	calledupsharecapitalnotpaidnotexpressedascurrentasset	16365
71	tangiblefixedassetsdepreciationchargeforperiod	16027
36	numberordinarysharesauthorised	15894
35	stocksinventory	14456
11	companydormant	12638
39	accountspreparedunderhistoricalcostconventioninaccordancewithfrsse05	11552
20	postcode	11088
5	cityortown	11088
9	addressline1	11088
27	creditorsdueafteroneyeartotalnoncurrentliabilities	10962
16	companyentitledtoexemptionundersection480companiesact2006	10612
12	tangiblefixedassetsadditions	9956
12	county	9285
34	valueordinarysharesauthorised	7254
10	addressline2	7009
6	intangiblefixedassetscostorvaluation	6102
27	provisionsforliabilitiescharges	5878
36	companyentitledtoexemptionundersection249a1companiesact1985	5842
29	intangiblefixedassets	5784
32	transactionswithdirectors	5225
8	intangiblefixedassetsaggregateamortisationimpairment	4959
8	nameaccountants	4522
19	totalnominalvalue	4400
18	totalnumbersharesissued	4400
20	totalconsideration	4400
59	statementonrelatedpartydisclosure	4334
61	contentadditionalnote	3407
54	titleadditionalnote	3407
